15              
26 100 0 121808            
0.3 50000
220000 200000 170000 150000 120000 100000 100000 100000 120000 180000 170000 210000   
2510 1185 966 824 2210 1450 1173 420 1050 910 1200 18700 8500 7700 2400  
665 363 277 339 860 487 803 167 436 385 700 4485 4485 3750 600  
3.354 0 0 3.208 0 0 3.208 0 2.04 1.018 1.894 0 2.916 2.04 2.77
2.139 0 0 2.7415 0 0 2.7415 0 1.7775 2.139 1.657 0 2.5005 1.7775 2.38
0.248 0 0 1.897 0 0 0.83 0 1.315 1.509 0.733 0 1.606 1.315 1.315
0 0 0 0 0 0 0 0.378 0.805 0.378 0.134 1.293 0 0.805 0.134
0 0.183 0.4935 0 0.4935 0.4935 0 0.2865 0.2175 0.321 0 0.4935 0 0.2175 0
0 0.3305 0.3305 0 0.3305 0.3305 0 0.1895 0.1425 0.1895 0 0.3305 0 0 0
0 0.481 0.481 0 0.481 0.481 0 0.319 0.265 0.076 0 0.481 0 0 0
0 0.5645 0.5645 0 0.5645 0.5645 0 0.3155 0.2325 0.357 0 0.5645 0 0 0
0 1.2905 1.2905 0 1.2905 1.2905 0 0.9095 0.7825 0.9095 0.211 1.2905 1.1635 0.084 0.592
1.7455 1.9365 1.9365 0 1.9365 1.9365 0 1.3635 1.1725 0.504 1.077 1.9365 1.7455 1.1725 1.65
2.878 0.637 0.5125 2.7535 0.7615 0.5125 2.7535 2.0065 1.7575 2.131 1.633 1.7575 2.5045 1.7575 2.38
3.398 0 0 3.251 0 0 3.251 0 2.075 2.369 1.928 0 2.957 2.075 2.81
150000 140000 120000 100000 70000 40000 40000 500000 70000 130000 140000 150000   
0 0 0 0 0 0 0 0 0 0 15000 2250 1400 1500 1000
