15              
26 25 0 121808            
0.3 50000
430000 310000 310000 250000 260000 270000 400000 490000 480000 520000 460000 470000                
2510 1185 966 824 2210 1450 1173 420 1050 910 1200 18700 8500 7700 2400  
665 363 277 339 860 487 803 167 436 385 700 4485 4485 3750 600  
2.69 0 0 2.5575 0 0 2.5575 0 1.4975 0.57 1.365 0 2.2925 1.4975 2.16
1.764 0 0 2.304 0 0 2.304 0 1.44 1.764 1.332 0 2.088 1.44 1.98
0.038 0 0 1.602 0 0 0.59 0 1.05 1.234 0.498 0 1.326 1.05 1.05
0 0 0 0 0 0 0 0.112 0.49 0.112 0 0.922 0 0.49 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.0745 0.0745 0 0.0745 0.0745 0 0 0 0 0 0.0745 0 0 0
0 0.385 0.385 0 0.385 0.385 0 0.175 0.105 0.21 0 0.385 0 0 0
0 0.723 0.723 0 0.723 0.723 0 0.417 0.315 0.417 0 0.723 0.621 0 0.162
1.2735 1.4405 1.4405 0 1.4405 1.4405 0 0.9395 0.7725 0.188 0.689 1.4405 1.2735 0.7725 1.19
2.272 0.328 0.22 2.164 0.436 0.22 2.164 1.516 1.3 1.624 1.192 1.3 1.948 1.3 1.84
2.736 0 0 2.607 0 0 2.607 0 1.575 1.833 1.446 0 2.349 1.575 2.22
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000   
0 0 0 0 0 0 0 0 0 0 15000 2250 1400 1500 1000
